xnf,xf,ynf,yf,znf,zf
59,60.46,356.03,355.21,92.26,92.72
61.09,60.51,355.51,355.24,92.49,92.70
60.42,60.51,356.27,355.33,92.12,92.65
.02,92.76
60.39,60.46,356.03,355.21,92.26,92.72
61.09,60.51,355.51,355.24,92.49,92.70
60.42,60.51,356.27,355.33,92.12,92.65
.02,92.76
60.39,60.46,356.03,355.21,92.26,92.72
61.09,60.51,355.51,355.24,92.49,92.70
60.42,60.51,356.27,355.33,92.12,92.65
60.08,60.08,355.37,355.37,92.67,92.67
60.47,60.28,355.30,355.33,92.67,92.67
60.66,60.42,355.43,355.37,92.57,92.63
60.75,60.52,355.09,355.29,92.75,92.67
60.48,60.51,354.62,355.13,93.05,92.76
60.35,60.47,355.21,355.15,92.73,92.75
60.33,60.45,355.43,355.20,92.61,92.73
60.14,60.40,355.08,355.18,92.83,92.74
60.49,60.41,355.14,355.17,92.76,92.75
60.75,60.46,355.30,355.19,92.64,92.73
60.25,60.43,354.88,355.15,92.93,92.76
61.00,60.51,355.00,355.13,92.78,92.76
61.00,60.57,354.49,355.05,93.06,92.80
60.32,60.54,354.68,355.00,93.04,92.83
60.63,60.55,354.77,354.97,92.95,92.84
60.59,60.55,354.94,354.97,92.86,92.84
61.11,60.62,354.98,354.97,92.77,92.84
60.36,60.59,355.03,354.98,92.83,92.84
60.28,60.55,356.15,355.11,92.20,92.77
60.69,60.57,355.05,355.10,92.79,92.77
60.60,60.57,355.47,355.14,92.55,92.75
60.01,60.51,354.81,355.10,93.00,92.77
60.65,60.53,355.49,355.14,92.54,92.75
60.34,60.51,354.80,355.11,92.97,92.77
60.64,60.52,354.94,355.09,92.85,92.78
60.99,60.57,354.92,355.07,92.82,92.78
60.05,60.52,354.91,355.06,92.94,92.80
60.44,60.51,355.26,355.08,92.70,92.79
60.37,60.50,355.09,355.08,92.80,92.79
60.58,60.50,355.85,355.15,92.34,92.75
60.40,60.49,355.44,355.18,92.59,92.73
60.98,60.54,355.92,355.25,92.27,92.69
60.77,60.56,355.22,355.25,92.68,92.69
60.58,60.56,355.72,355.29,92.42,92.66
60.55,60.56,354.92,355.26,92.87,92.68
60.54,60.56,355.54,355.28,92.52,92.67
60.69,60.57,354.82,355.24,92.91,92.69
60.02,60.52,355.48,355.26,92.61,92.68
60.31,60.50,354.50,355.19,93.14,92.72
60.56,60.51,355.39,355.21,92.60,92.71
60.14,60.47,355.47,355.23,92.60,92.70
60.62,60.49,355.42,355.25,92.58,92.69
60.54,60.49,355.38,355.26,92.61,92.68
60.66,60.51,354.47,355.19,93.12,92.72
60.42,60.50,355.12,355.18,92.78,92.73
60.08,60.46,354.94,355.16,92.92,92.75
60.19,60.44,355.70,355.21,92.46,92.72
60.53,60.44,355.50,355.24,92.55,92.70
60.41,60.44,355.80,355.29,92.39,92.68
60.55,60.45,354.87,355.25,92.90,92.70
60.47,60.45,355.16,355.24,92.75,92.70
61.00,60.50,355.06,355.23,92.74,92.70
59.91,60.45,355.50,355.25,92.61,92.70
60.89,60.49,355.22,355.25,92.67,92.69
61.08,60.54,355.12,355.24,92.70,92.69
60.50,60.54,354.82,355.20,92.94,92.72
60.06,60.49,355.36,355.21,92.68,92.71
60.20,60.47,355.20,355.21,92.75,92.72
59.85,60.41,355.81,355.27,92.44,92.69
60.86,60.45,354.38,355.19,93.14,92.73
61.07,60.51,354.85,355.16,92.85,92.74
60.14,60.47,354.63,355.11,93.09,92.77
60.27,60.46,354.89,355.09,92.92,92.79
60.49,60.46,355.32,355.11,92.65,92.78
60.83,60.49,354.67,355.07,92.98,92.79
60.87,60.53,355.66,355.12,92.42,92.76
60.82,60.55,355.28,355.14,92.64,92.75
60.75,60.57,355.15,355.14,92.72,92.75
60.61,60.57,354.78,355.11,92.95,92.77
60.21,60.54,355.49,355.14,92.58,92.75
60.41,60.53,355.31,355.16,92.67,92.74
60.47,60.52,355.43,355.18,92.59,92.73
60.17,60.49,355.84,355.24,92.39,92.70
60.40,60.48,354.99,355.22,92.85,92.71
60.26,60.46,354.94,355.19,92.90,92.73
60.65,60.48,355.02,355.18,92.80,92.74
60.82,60.51,355.01,355.16,92.79,92.74
60.76,60.53,355.75,355.22,92.38,92.71
60.69,60.55,354.87,355.18,92.89,92.72
60.60,60.55,354.99,355.17,92.83,92.73
60.50,60.55,355.45,355.19,92.58,92.72
60.19,60.51,355.24,355.20,92.73,92.72
60.60,60.52,354.87,355.17,92.89,92.74
60.27,60.50,355.47,355.19,92.59,92.72
60.79,60.53,355.32,355.21,92.62,92.71
60.71,60.54,354.99,355.19,92.82,92.72
60.47,60.54,354.53,355.13,93.11,92.76
59.95,60.48,355.36,355.15,92.69,92.75
60.61,60.49,355.10,355.14,92.76,92.75
60.52,60.50,355.38,355.17,92.61,92.74
60.27,60.48,354.72,355.13,93.02,92.77
60.42,60.47,354.87,355.10,92.91,92.78
60.98,60.52,355.50,355.14,92.50,92.75
60.05,60.47,355.22,355.14,92.76,92.75
60.53,60.48,355.39,355.17,92.61,92.74
60.64,60.49,355.03,355.15,92.80,92.75
