xnf,xf,ynf,yf,znf,zf
175
83.16,82.89,16.63,17.38,87.95,87.76
.41,87.77,87.75
83.03,82.87,18.72,17.49,87.63,87.74
82.88,82.87,16.44,17.43,87.89,87.75
83.16,82.89,16.63,17.38,87.95,87.76
.41,87.77,87.75
83.03,82.87,18.72,17.49,87.63,87.74
82.88,82.87,16.44,17.43,87.89,87.75
83.16,82.89,16.63,17.38,87.95,87.76
83.08,83.08,13.46,13.46,88.34,88.34
83.99,83.55,10.88,12.23,88.84,88.60
84.26,83.80,13.25,12.57,88.64,88.61
83.96,83.85,20.20,14.68,87.77,88.38
84.01,83.88,17.78,15.37,88.07,88.31
84.74,84.05,18.43,15.90,88.24,88.30
83.27,83.92,12.36,15.24,88.52,88.34
83.83,83.90,13.99,15.05,88.46,88.36
83.99,83.92,14.71,15.00,88.42,88.36
84.11,83.94,16.70,15.22,88.23,88.35
84.97,84.07,21.57,15.89,88.01,88.31
84.41,84.11,20.35,16.39,87.92,88.26
83.27,84.02,12.60,15.93,88.49,88.29
82.44,83.85,8.69,15.04,88.84,88.34
82.89,83.76,9.19,14.39,88.84,88.39
83.07,83.69,8.32,13.77,88.98,88.45
83.42,83.67,17.23,14.10,87.95,88.40
83.09,83.61,16.06,14.29,88.00,88.37
84.33,83.68,13.61,14.24,88.62,88.39
82.68,83.59,13.47,14.17,88.24,88.38
84.87,83.70,18.66,14.47,88.26,88.37
85.17,83.82,24.95,15.17,87.75,88.32
83.00,83.75,4.47,14.27,89.45,88.41
83.17,83.71,12.76,14.15,88.45,88.41
83.45,83.69,12.89,14.05,88.50,88.41
84.33,83.74,20.13,14.47,87.92,88.38
84.61,83.80,15.14,14.51,88.54,88.39
83.84,83.80,9.85,14.18,88.93,88.43
82.58,83.72,8.01,13.67,88.95,88.47
83.56,83.71,10.69,13.46,88.78,88.49
83.82,83.71,14.46,13.53,88.40,88.48
84.20,83.75,14.48,13.59,88.50,88.48
84.48,83.80,16.77,13.79,88.33,88.47
83.86,83.80,11.23,13.62,88.78,88.49
83.29,83.77,15.08,13.72,88.19,88.47
84.57,83.82,17.39,13.94,88.30,88.46
84.21,83.85,16.58,14.11,88.27,88.45
84.52,83.89,17.77,14.33,88.24,88.43
85.52,84.00,20.62,14.65,88.31,88.43
83.31,83.95,10.65,14.37,88.74,88.45
82.68,83.87,6.88,13.80,89.11,88.49
84.52,83.91,13.28,13.77,88.70,88.50
83.84,83.91,13.87,13.78,88.47,88.50
82.64,83.83,6.32,13.21,89.18,88.55
83.03,83.78,7.24,12.80,89.11,88.58
82.06,83.67,10.82,12.64,88.47,88.57
83.49,83.65,12.94,12.66,88.50,88.57
85.30,83.76,17.59,12.90,88.51,88.57
85.17,83.85,21.20,13.32,88.12,88.54
85.31,83.94,26.60,14.02,87.65,88.48
85.22,84.02,24.66,14.59,87.80,88.44
84.54,84.05,14.39,14.58,88.60,88.45
84.30,84.07,18.30,14.80,88.11,88.43
84.21,84.08,13.63,14.73,88.59,88.44
85.63,84.17,24.38,15.21,88.02,88.41
84.26,84.18,8.97,14.84,89.09,88.45
84.08,84.17,4.12,14.19,89.57,88.52
81.56,84.01,6.70,13.55,89.00,88.55
82.16,83.90,4.77,12.88,89.34,88.60
83.72,83.88,6.98,12.51,89.23,88.64
84.97,83.95,16.96,12.75,88.46,88.63
85.36,84.04,26.52,13.46,87.68,88.57
84.59,84.07,15.43,13.57,88.50,88.56
83.97,84.07,16.45,13.75,88.21,88.54
84.51,84.09,15.44,13.85,88.48,88.54
85.54,84.18,35.37,15.04,86.83,88.43
85.50,84.26,40.04,16.48,86.22,88.30
83.77,84.23,9.78,16.06,88.92,88.33
85.20,84.29,16.13,16.06,88.61,88.35
84.79,84.32,15.49,16.03,88.55,88.36
84.51,84.33,17.17,16.10,88.30,88.36
83.85,84.30,18.16,16.24,87.98,88.34
83.38,84.25,11.62,15.92,88.63,88.35
80.77,84.03,15.00,15.83,87.51,88.30
82.62,83.94,2.73,14.91,89.65,88.38
83.27,83.90,8.51,14.49,88.99,88.42
83.18,83.86,9.81,14.18,88.82,88.44
83.94,83.86,14.36,14.19,88.44,88.44
83.89,83.87,10.81,13.99,88.83,88.47
83.70,83.86,12.79,13.91,88.56,88.47
84.88,83.92,21.49,14.32,87.98,88.44
83.17,83.87,10.68,14.07,88.71,88.46
84.40,83.90,27.00,14.84,87.14,88.38
85.25,83.98,22.46,15.21,88.03,88.36
84.26,84.00,18.01,15.38,88.13,88.34
84.65,84.04,16.45,15.44,88.42,88.35
84.64,84.08,22.53,15.84,87.77,88.31
85.28,84.15,26.18,16.37,87.68,88.28
83.45,84.11,12.32,16.11,88.56,88.29
83.02,84.04,8.46,15.58,88.96,88.33
80.13,83.81,1.38,14.28,89.76,88.42
81.64,83.68,1.24,13.29,89.82,88.50
83.22,83.65,9.04,13.02,88.92,88.53
83.55,83.64,13.53,13.05,88.44,88.52
83.05,83.61,15.47,13.21,88.07,88.49
85.04,83.69,19.57,13.52,88.23,88.48
85.95,83.83,22.69,13.90,88.30,88.47
