xnf,xf,ynf,yf,znf,zf
0,86.93,2.74,5.78,89.86,89.69
90,6.91,89.23,89.51
86.43,86.24,20.76,15.01,88.65,88.99
86.82,86.59,5.08,9.55,89.72,89.43
87.16,86.93,2.74,5.78,89.86,89.69
82.89,82.89,4.06,4.06,89.49,89.49
83.32,83.20,5.48,5.05,89.36,89.40
83.75,83.55,7.88,6.81,89.13,89.23
84.89,84.38,5.73,6.21,89.49,89.39
86.53,85.68,3.43,4.86,89.79,89.63
87.64,86.86,16.23,10.10,89.31,89.44
88.62,87.93,26.43,17.04,89.31,89.36
89.70,88.97,318.37,5.57,90.27,89.90
94.06,92.04,174.23,171.99,89.59,89.71
93.55,92.95,187.31,183.05,90.46,90.16
85.67,88.46,5.27,6.90,89.60,89.81
78.95,82.82,3.71,3.99,89.27,89.50
79.80,80.97,6.73,5.89,88.78,89.06
85.51,83.65,352.81,0.43,90.57,89.95
83.12,83.33,358.39,359.17,90.19,90.10
82.21,82.65,5.18,3.03,89.29,89.61
82.07,82.31,3.98,3.61,89.45,89.51
87.31,85.35,25.82,11.94,88.70,89.01
89.45,87.84,65.89,27.79,88.76,88.86
84.97,86.18,10.85,15.20,89.03,88.96
93.35,90.46,174.57,127.10,89.68,89.39
93.41,92.22,177.86,171.79,89.87,89.68
99.05,96.32,176.93,176.20,89.51,89.58
94.64,95.29,198.88,188.70,91.59,90.81
82.14,86.79,9.84,10.51,88.63,89.40
67.81,76.13,356.57,358.02,91.40,90.49
78.96,77.93,10.21,5.20,87.99,88.89
90.53,84.92,259.70,347.23,92.93,91.15
86.95,86.17,24.20,5.94,88.63,89.60
88.52,87.53,60.78,34.61,87.35,88.30
81.39,83.85,3.88,9.54,89.41,88.96
91.69,88.70,154.03,34.86,89.18,89.09
91.14,90.13,217.88,228.24,90.89,90.14
92.07,91.31,179.03,181.55,89.96,90.04
89.06,89.95,47.43,85.08,88.98,89.40
80.42,84.32,7.53,9.95,88.72,89.00
80.25,81.83,5.21,6.50,89.10,89.06
83.51,82.83,352.98,359.19,90.80,90.10
86.17,84.83,350.12,355.14,90.67,90.44
88.56,87.09,31.40,7.04,89.12,89.64
87.14,87.12,32.93,23.55,88.15,88.74
88.06,87.68,31.54,27.68,88.81,88.78
90.03,89.10,251.57,25.01,90.10,89.58
87.19,87.98,337.50,345.87,91.17,90.51
86.15,86.87,8.78,2.93,89.40,89.84
83.64,84.91,12.57,10.28,88.58,89.07
82.67,83.58,3.05,5.41,89.61,89.39
84.68,84.25,1.59,3.27,89.85,89.67
85.73,85.13,352.02,357.36,90.60,90.23
86.19,85.76,359.26,358.38,90.05,90.12
88.97,87.69,44.15,13.45,89.00,89.45
88.80,88.36,36.23,24.43,89.12,89.25
89.98,89.34,88.93,56.28,88.84,89.00
88.41,88.78,15.40,28.49,89.56,89.34
84.99,86.50,6.24,9.62,89.45,89.41
82.57,84.14,358.29,1.03,90.22,89.89
81.41,82.50,0.73,0.82,89.89,89.89
84.09,83.45,5.60,3.42,89.42,89.61
85.23,84.52,3.88,3.66,89.68,89.65
87.36,86.22,6.09,4.68,89.72,89.69
88.21,87.41,357.44,1.69,90.08,89.92
88.26,87.92,12.90,7.39,89.60,89.73
90.94,89.73,139.59,65.70,89.20,89.41
90.81,90.38,131.55,115.88,89.08,89.21
85.21,87.26,6.22,12.91,89.48,89.37
81.87,84.02,2.97,4.82,89.57,89.49
79.80,81.47,0.52,1.72,89.91,89.74
81.33,81.39,1.37,1.51,89.79,89.77
83.87,82.88,3.15,2.36,89.66,89.71
86.36,84.96,1.47,1.97,89.91,89.83
86.98,86.17,0.16,1.11,89.99,89.93
87.76,87.13,16.19,8.33,89.35,89.58
90.91,89.38,133.55,49.95,89.04,89.26
97.38,94.15,167.74,163.16,88.39,88.74
94.85,94.57,185.35,177.17,90.45,89.77
83.47,87.74,19.36,33.58,87.70,88.50
72.94,79.16,352.43,356.46,92.33,90.68
75.54,76.87,6.96,3.77,88.20,89.12
85.21,81.74,347.64,358.21,91.05,90.26
83.65,82.89,359.80,359.06,90.02,90.12
90.20,87.31,159.11,0.03,89.92,90.00
84.65,85.73,4.32,3.22,89.59,89.76
87.11,86.57,24.93,14.84,88.65,89.09
90.43,88.88,112.92,41.16,88.98,89.02
91.74,90.55,188.24,154.89,90.25,89.74
95.72,93.67,179.47,177.90,89.95,89.87
90.81,91.95,158.78,172.91,89.69,89.76
79.33,84.22,8.93,11.00,88.30,88.87
77.43,80.12,4.94,6.37,88.90,88.89
75.54,77.35,0.25,2.15,89.93,89.52
87.42,83.27,319.83,350.80,92.17,91.09
86.62,85.30,359.17,354.41,90.05,90.46
88.64,87.30,35.15,8.24,89.04,89.61
82.73,84.54,14.44,13.24,88.12,88.71
87.44,86.28,29.50,20.41,88.55,88.61
85.18,85.63,348.36,359.81,90.99,90.01
89.05,87.72,292.98,328.95,92.24,91.38
91.51,89.97,150.69,300.73,89.15,90.06
91.73,91.01,135.43,135.71,88.29,89.01
96.45,94.27,170.16,165.96,88.88,88.93
88.51,90.76,37.87,124.12,88.84,88.88
79.37,83.61,3.35,7.24,89.37,89.18
