xnf,xf,ynf,yf,znf,zf
789.61
86.01,86.20,4.04,5.80,89.72,89.61
85.96,86.19,4.81,5.75,89.66,89.62
85.72,86.17,5.52,5.74,89.59,89.61
5.89,5.90,89.62,89.61
86.01,86.20,4.04,5.80,89.72,89.61
85.96,86.19,4.81,5.75,89.66,89.62
85.72,86.17,5.52,5.74,89.59,89.61
85.95,85.95,7.23,7.23,89.49,89.49
86.20,86.08,7.86,7.55,89.47,89.48
85.89,86.01,6.29,7.09,89.55,89.50
85.96,86.00,5.19,6.58,89.63,89.54
85.43,85.87,3.31,5.78,89.74,89.58
85.96,85.89,6.38,5.89,89.55,89.58
85.96,85.90,7.61,6.17,89.46,89.56
85.87,85.90,8.80,6.57,89.36,89.53
85.98,85.91,5.81,6.47,89.59,89.54
85.46,85.85,2.10,5.87,89.83,89.57
86.36,85.91,2.35,5.51,89.85,89.61
86.18,85.94,0.99,5.05,89.93,89.64
86.79,86.03,9.52,5.42,89.46,89.62
85.99,86.02,4.20,5.30,89.70,89.63
85.95,86.02,7.75,5.54,89.45,89.61
85.60,85.98,6.25,5.61,89.52,89.60
86.56,86.03,12.32,6.12,89.25,89.57
86.63,86.08,12.45,6.57,89.26,89.55
86.56,86.12,3.00,6.32,89.82,89.57
86.45,86.14,8.36,6.47,89.48,89.56
86.34,86.16,7.70,6.56,89.50,89.56
86.06,86.15,3.28,6.31,89.77,89.57
86.32,86.16,8.55,6.47,89.45,89.56
86.11,86.16,8.06,6.58,89.45,89.56
85.80,86.14,6.67,6.59,89.51,89.55
86.01,86.13,11.97,6.97,89.15,89.53
86.02,86.12,2.79,6.68,89.81,89.54
86.09,86.12,4.54,6.54,89.69,89.55
85.83,86.10,2.86,6.29,89.79,89.57
85.31,86.05,5.53,6.23,89.55,89.57
85.13,85.99,7.18,6.30,89.39,89.56
86.18,86.00,10.36,6.55,89.30,89.54
85.68,85.98,7.65,6.62,89.42,89.53
85.82,85.97,2.48,6.36,89.82,89.55
85.51,85.95,8.11,6.48,89.36,89.54
86.00,85.95,5.21,6.40,89.63,89.54
85.66,85.93,6.69,6.42,89.49,89.54
86.42,85.96,3.32,6.26,89.79,89.56
85.76,85.95,9.14,6.44,89.32,89.54
86.69,85.99,3.37,6.29,89.81,89.56
86.01,85.99,8.89,6.44,89.37,89.55
86.63,86.03,11.52,6.69,89.31,89.53
85.28,85.99,4.26,6.53,89.65,89.54
85.86,85.98,7.29,6.57,89.47,89.54
86.24,85.99,5.13,6.50,89.66,89.54
85.96,85.99,6.62,6.50,89.53,89.54
86.03,85.99,5.68,6.46,89.60,89.55
86.27,86.01,6.23,6.45,89.59,89.55
86.02,86.01,4.62,6.35,89.68,89.56
85.49,85.98,7.17,6.40,89.43,89.55
85.72,85.97,7.00,6.43,89.47,89.54
85.86,85.96,6.78,6.45,89.51,89.54
86.07,85.97,2.45,6.25,89.83,89.56
86.24,85.98,5.55,6.21,89.63,89.56
85.75,85.97,7.03,6.26,89.48,89.56
86.44,85.99,7.49,6.31,89.53,89.56
86.10,86.00,5.80,6.29,89.60,89.56
86.25,86.01,5.82,6.26,89.62,89.56
85.77,86.00,7.68,6.34,89.43,89.55
85.80,85.99,4.19,6.22,89.69,89.56
85.94,85.99,12.58,6.56,89.09,89.54
85.88,85.98,5.10,6.49,89.63,89.54
86.66,86.02,4.27,6.39,89.75,89.55
86.25,86.03,4.91,6.32,89.68,89.56
86.02,86.03,3.61,6.18,89.75,89.57
87.03,86.08,9.73,6.32,89.49,89.57
85.69,86.06,9.77,6.51,89.26,89.55
85.90,86.05,8.86,6.64,89.36,89.54
86.34,86.07,7.05,6.66,89.55,89.54
86.20,86.07,3.57,6.51,89.76,89.55
85.42,86.04,6.41,6.50,89.48,89.55
86.21,86.05,12.93,6.82,89.13,89.53
86.19,86.06,12.54,7.11,89.15,89.51
86.19,86.06,7.84,7.14,89.47,89.51
86.63,86.09,10.48,7.29,89.38,89.50
85.99,86.09,7.23,7.29,89.49,89.50
86.14,86.09,2.03,7.03,89.86,89.52
86.04,86.09,5.48,6.95,89.62,89.52
86.08,86.09,3.46,6.77,89.76,89.53
85.75,86.07,8.26,6.85,89.38,89.53
85.95,86.06,11.64,7.11,89.17,89.51
86.44,86.08,8.21,7.16,89.49,89.51
85.42,86.05,3.16,6.92,89.75,89.52
85.81,86.04,359.93,6.55,90.01,89.54
85.29,86.00,6.51,6.55,89.46,89.54
86.09,86.00,13.51,6.90,89.06,89.52
86.39,86.02,9.33,7.01,89.41,89.51
86.75,86.06,359.62,6.71,90.02,89.54
86.56,86.09,358.69,6.35,90.08,89.56
85.59,86.06,7.20,6.40,89.44,89.56
85.39,86.03,8.44,6.52,89.32,89.55
85.76,86.01,8.97,6.65,89.33,89.53
86.36,86.03,3.51,6.51,89.78,89.55
86.52,86.06,3.43,6.37,89.79,89.56
86.20,86.06,2.51,6.18,89.83,89.57
85.59,86.04,14.01,6.63,88.90,89.54
85.51,86.01,8.80,6.76,89.30,89.53
85.81,86.00,5.80,6.71,89.57,89.53
85.45,85.97,359.00,6.27,90.08,89.56
