xnf,xf,ynf,yf,znf,zf
52,89.85,89.55
85.52,85.52,5.75,5.75,89.55,89.55
86.14,85.84,6.29,6.01,89.57,89.56
86.13,85.94,4.13,5.38,89.72,89.62
85.99,85.95,9.05,6.36,89.36,89.55
85.91,85.94,6.13,6.31,89.56,89.55
85.67,85.89,11.52,7.36,89.12,89.47
86.23,85.95,3.80,6.81,89.75,89.52
85.93,85.94,3.72,6.35,89.73,89.55
86.05,85.96,8.79,6.68,89.39,89.53
86.18,85.99,7.39,6.76,89.50,89.52
86.27,86.02,11.60,7.29,89.23,89.49
86.79,86.10,8.08,7.36,89.54,89.50
86.09,86.10,2.00,6.82,89.86,89.53
86.28,86.12,6.30,6.77,89.59,89.54
85.90,86.10,4.31,6.53,89.69,89.55
85.72,86.06,6.04,6.48,89.55,89.55
85.67,86.03,3.17,6.17,89.76,89.57
85.97,86.03,7.42,6.28,89.47,89.56
86.25,86.04,4.30,6.13,89.72,89.57
85.99,86.04,7.86,6.27,89.45,89.56
85.97,86.03,3.98,6.09,89.72,89.58
85.62,86.00,6.67,6.14,89.49,89.57
86.02,86.00,5.27,6.07,89.63,89.57
85.91,86.00,6.31,6.09,89.55,89.57
86.20,86.01,11.86,6.48,89.20,89.55
86.09,86.02,7.47,6.54,89.49,89.54
86.03,86.02,4.66,6.42,89.68,89.55
85.66,85.99,8.20,6.55,89.37,89.54
86.08,86.00,6.98,6.57,89.52,89.54
86.04,86.00,5.91,6.53,89.59,89.54
85.93,86.00,9.59,6.73,89.31,89.53
86.19,86.01,8.24,6.82,89.45,89.52
86.33,86.03,7.96,6.88,89.49,89.52
85.87,86.02,8.21,6.97,89.40,89.51
86.31,86.04,11.37,7.21,89.26,89.50
85.91,86.03,3.52,6.99,89.75,89.51
86.75,86.07,2.43,6.77,89.86,89.53
86.10,86.07,7.06,6.79,89.52,89.53
86.25,86.08,1.42,6.49,89.91,89.55
85.73,86.06,7.18,6.53,89.46,89.55
85.72,86.04,6.02,6.50,89.55,89.55
86.02,86.04,6.68,6.51,89.53,89.55
85.33,86.00,5.36,6.44,89.56,89.55
86.06,86.01,6.58,6.45,89.54,89.55
85.91,86.00,9.08,6.60,89.34,89.54
85.83,85.99,5.03,6.51,89.63,89.54
85.44,85.96,2.10,6.24,89.83,89.56
85.95,85.96,6.43,6.25,89.54,89.56
85.46,85.93,4.07,6.11,89.68,89.56
86.19,85.95,5.32,6.07,89.65,89.57
85.56,85.93,8.62,6.22,89.33,89.55
86.31,85.95,7.62,6.29,89.51,89.55
85.68,85.93,1.81,6.04,89.86,89.57
86.31,85.95,8.77,6.17,89.43,89.56
86.02,85.96,11.17,6.44,89.21,89.54
86.26,85.97,8.84,6.56,89.42,89.54
86.15,85.98,4.58,6.46,89.69,89.54
85.90,85.98,5.12,6.39,89.63,89.55
85.68,85.96,4.67,6.29,89.65,89.55
85.81,85.95,5.76,6.26,89.58,89.56
85.96,85.96,7.20,6.31,89.49,89.55
85.79,85.95,4.96,6.24,89.63,89.56
85.92,85.95,10.87,6.48,89.22,89.54
86.10,85.95,8.92,6.61,89.39,89.53
86.11,85.96,2.87,6.42,89.80,89.54
85.97,85.96,2.58,6.22,89.82,89.56
86.15,85.97,11.30,6.48,89.23,89.54
86.54,86.00,8.15,6.55,89.50,89.54
85.33,85.97,8.53,6.67,89.30,89.53
85.86,85.96,4.09,6.54,89.70,89.54
86.47,85.99,8.90,6.64,89.45,89.53
85.59,85.97,8.07,6.72,89.37,89.52
85.65,85.95,6.34,6.70,89.52,89.52
86.07,85.96,8.26,6.78,89.43,89.52
85.79,85.95,8.29,6.86,89.39,89.51
85.84,85.94,7.38,6.89,89.46,89.51
85.80,85.94,6.91,6.89,89.49,89.51
86.00,85.94,9.91,7.04,89.30,89.50
86.40,85.96,5.36,6.96,89.66,89.51
85.81,85.96,4.96,6.86,89.64,89.51
86.10,85.96,8.06,6.92,89.45,89.51
85.76,85.95,2.81,6.70,89.79,89.52
86.13,85.96,4.98,6.62,89.66,89.53
85.88,85.96,9.02,6.74,89.35,89.52
85.67,85.94,7.86,6.80,89.40,89.52
86.66,85.98,5.79,6.76,89.66,89.52
86.24,85.99,7.72,6.81,89.49,89.52
86.33,86.01,8.77,6.90,89.43,89.52
85.53,85.99,1.19,6.58,89.91,89.54
86.37,86.00,3.52,6.44,89.78,89.55
86.03,86.01,5.87,6.41,89.59,89.55
85.55,85.98,5.11,6.34,89.60,89.55
85.99,85.98,10.45,6.55,89.26,89.54
86.07,85.99,7.15,6.58,89.51,89.54
85.70,85.97,8.10,6.66,89.39,89.53
86.36,85.99,11.66,6.89,89.25,89.51
86.05,86.00,4.91,6.79,89.66,89.52
86.50,86.02,6.46,6.78,89.60,89.53
85.84,86.01,4.64,6.67,89.66,89.53
86.40,86.03,5.12,6.60,89.68,89.54
85.91,86.03,4.31,6.48,89.69,89.55
86.18,86.03,6.52,6.48,89.56,89.55
85.62,86.01,0.46,6.15,89.96,89.57
85.76,86.00,5.70,6.13,89.58,89.57
86.08,86.00,6.38,6.14,89.56,89.57
85.85,86.00,5.67,6.11,89.59,89.57
